sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ANAPC4_sg011	ANAPC4	12918/13110	12746/12857	13014	12802	-0.023703	12309	42143	1.0331	0.15078	0.84922	0.30156	0.99897	False
ANAPC4_sg012	ANAPC4	12556/12444	12271/12314	12500	12293	-0.024173	3598.1	40481	1.0324	0.15093	0.84907	0.30187	0.99897	False
GNAI3_sg388	GNAI3	16261/16199	15887/16100	16230	15994	-0.021145	12338	52558	1.0301	0.15149	0.84851	0.30298	0.99897	False
POLR2C_sg650	POLR2C	14465/14222	14580/14550	14344	14565	0.022096	14948	46450	1.0272	0.84784	0.15216	0.30431	0.99897	True
NonTarg_17	Control	16055/16140	15756/15970	16097	15863	-0.021132	13289	52129	1.0252	0.15263	0.84737	0.30526	0.99897	False
FADS1_sg333	FADS1	9546.9/9502.4	9802.3/9606.3	9524.6	9704.3	0.026954	10101	30844	1.0229	0.84681	0.15319	0.30638	0.99897	True
POLR1B_sg638	POLR1B	12449/12231	12741/12358	12340	12549	0.024276	48528	42817	1.0121	0.84425	0.15575	0.31151	0.99897	True
GRM6_sg432	GRM6	10822/10654	11049/10805	10738	10927	0.025125	22030	34774	1.0117	0.84417	0.15583	0.31166	0.99897	True
PHOX2B_sg622	PHOX2B	8317.4/8436	8452.9/8633	8376.7	8542.9	0.028351	11623	27127	1.0095	0.84363	0.15637	0.31275	0.99897	True
NonTarg_72	Control	15737/15759	15437/15604	15748	15521	-0.020997	7172.6	50998	1.0076	0.15681	0.84319	0.31363	0.99897	False
ATG5_sg063	ATG5	29226/28811	28355/29008	29019	28681	-0.016877	1.4961e+05	1.1252e+05	1.0062	0.15716	0.84284	0.31433	0.99897	False
NonTarg_68	Control	9071.8/9004.3	9229.9/9189	9038	9209.4	0.0271	1559.4	29268	1.0018	0.84179	0.15821	0.31642	0.99897	True
SATB2_sg767	SATB2	21394/21748	21170/21444	21571	21307	-0.017775	50230	69855	0.99945	0.15879	0.84121	0.31757	0.99897	False
NonTarg_27	Control	5883.1/6021.6	5554.7/5999.3	5952.4	5777	-0.04314	54220	30924	0.99733	0.1593	0.8407	0.3186	0.99897	False
GRM1_sg426	GRM1	14710/14909	14764/14418	14809	14591	-0.021407	39939	47958	0.99609	0.1596	0.8404	0.31921	0.99897	False
GRM6_sg431	GRM6	9324.5/9304.7	9110/9173.7	9314.6	9141.8	-0.02701	1114	30164	0.99487	0.1599	0.8401	0.3198	0.99897	False
PRDM13_sg679	PRDM13	10644/10564	10667/10908	10604	10788	0.024775	16190	34340	0.99127	0.83922	0.16078	0.32155	0.99897	True
FMO3_sg355	FMO3	8143.7/8094	8152.6/8405.8	8118.9	8279.2	0.028207	16638	26292	0.98871	0.8386	0.1614	0.32281	0.99897	True
ARHGAP44_sg046	ARHGAP44	9649.8/9634.8	9478.8/9456.6	9642.3	9467.7	-0.026361	179.61	31225	0.98811	0.16155	0.83845	0.3231	0.99897	False
HSD17B1_sg465	HSD17B1	12611/12601	12924/12686	12606	12805	0.022629	14257	40822	0.98643	0.83804	0.16196	0.32392	0.99897	True
GNAI3_sg387	GNAI3	13440/13657	13725/13785	13549	13755	0.021789	12605	43876	0.98439	0.83754	0.16246	0.32492	0.99897	True
GRM6_sg434	GRM6	12128/12125	12271/12371	12127	12321	0.022942	2493.1	39271	0.98098	0.8367	0.1633	0.3266	0.99897	True
ENTPD4_sg276	ENTPD4	15090/15152	15183/15493	15121	15338	0.020521	25067	48968	0.97897	0.8362	0.1638	0.3276	0.99897	True
NonTarg_63	Control	10781/10719	11030/10835	10750	10932	0.024278	10424	34812	0.97785	0.83593	0.16407	0.32815	0.99897	True
ULBP1_sg887	ULBP1	31990/32493	31774/32081	32242	31927	-0.01413	86628	1.0441e+05	0.9725	0.1654	0.8346	0.3308	0.99897	False
DKK4_sg219	DKK4	17930/17851	18056/18192	17890	18124	0.018708	6193.5	57936	0.97014	0.83401	0.16599	0.33198	0.99897	True
ARHGEF4_sg059	ARHGEF4	11116/11122	11425/11181	11119	11303	0.023649	14803	36008	0.96853	0.83361	0.16639	0.33278	0.99897	True
MNAT1_sg553	MNAT1	16519/16539	16180/16431	16529	16306	-0.019607	15866	53527	0.96442	0.16742	0.83258	0.33484	0.99897	False
IL17F_sg484	IL17F	10875/10966	11132/11069	10920	11101	0.023626	3088.9	35364	0.9589	0.8312	0.1688	0.33761	0.99897	True
APOH_sg035	APOH	18730/18808	18532/18534	18769	18533	-0.018234	1525.6	60781	0.95617	0.16949	0.83051	0.33899	0.99897	False
CDC45_sg135	CDC45	9763.8/9577.5	9464.7/9538.5	9670.6	9501.6	-0.025434	10044	31317	0.95504	0.16978	0.83022	0.33956	0.99897	False
SNX1_sg809	SNX1	17102/17014	16995/16673	17058	16834	-0.019093	27779	55240	0.95426	0.16998	0.83002	0.33995	0.99897	False
BCR_sg094	BCR	9221.6/9158.4	9350.8/9358.3	9190	9354.6	0.025599	1012.1	29761	0.95377	0.8299	0.1701	0.3402	0.99897	True
SNX1_sg803	SNX1	12967/13250	12778/13046	13109	12912	-0.021782	37936	42450	0.95346	0.17018	0.82982	0.34036	0.99897	False
NKX3-2_sg582	NKX3-2	9049.8/8901.5	9187.6/9088.5	8975.6	9138	0.025867	7951.3	29066	0.95256	0.82959	0.17041	0.34081	0.99897	True
EFHD2_sg256	EFHD2	17191/17076	17275/17440	17133	17357	0.018739	10118	55483	0.95101	0.8292	0.1708	0.3416	0.99897	True
CDC45_sg138	CDC45	10992/10842	11308/10903	10917	11105	0.024621	46613	39107	0.95033	0.82903	0.17097	0.34194	0.99897	True
NonTarg_77	Control	11757/11790	12125/11792	11774	11959	0.022491	28001	38127	0.94745	0.8283	0.1717	0.34341	0.99897	True
MCOLN3_sg538	MCOLN3	8359.6/8202.8	8484.2/8388.3	8281.2	8436.2	0.026754	8451	26818	0.94662	0.82808	0.17192	0.34383	0.99897	True
TMPRSS11E_sg869	TMPRSS11E	12193/12212	12431/12349	12202	12390	0.022049	1788.4	39516	0.94545	0.82779	0.17221	0.34443	0.99897	True
RBFOX3_sg746	RBFOX3	11502/11531	11633/11765	11517	11699	0.022643	4528.2	37296	0.94344	0.82727	0.17273	0.34546	0.99897	True
TIAM1_sg856	TIAM1	9595.6/9316.6	9351.8/9231.6	9456.1	9291.7	-0.025298	23084	30622	0.93938	0.17377	0.82623	0.34754	0.99897	False
GRIA1_sg405	GRIA1	10848/10752	10954/10994	10800	10974	0.023057	2722.3	34974	0.93045	0.82393	0.17607	0.35214	0.99897	True
PPY_sg669	PPY	11751/11747	11806/12053	11749	11929	0.022027	15319	38046	0.92677	0.82298	0.17702	0.35405	0.99897	True
NonTarg_40	Control	8791.5/8538.8	8975.9/8681	8665.2	8828.5	0.026936	37714	31279	0.92348	0.82212	0.17788	0.35576	0.99897	True
TRRAP_sg872	TRRAP	10011/9959.9	10162/10139	9985.5	10151	0.023676	780.5	32337	0.91888	0.82092	0.17908	0.35816	0.99897	True
NonTarg_82	Control	30715/30653	30494/30295	30684	30394	-0.013668	10924	99365	0.91784	0.17935	0.82065	0.3587	0.99897	False
MCOLN3_sg539	MCOLN3	8812.7/8934.1	8562.8/8873.3	8873.4	8718	-0.02548	27793	28735	0.91649	0.1797	0.8203	0.35941	0.99897	False
CDHR5_sg145	CDHR5	11052/11152	11378/11172	11102	11275	0.02231	13168	35952	0.91257	0.81927	0.18073	0.36147	0.99897	True
BCL11B_sg087	BCL11B	13435/13308	13446/13676	13372	13561	0.020326	17261	43302	0.91182	0.81907	0.18093	0.36186	0.99897	True
ANAPC4_sg016	ANAPC4	11583/11294	11327/11201	11439	11264	-0.022195	24868	37043	0.90743	0.18209	0.81791	0.36418	0.99897	False
NLGN1_sg598	NLGN1	12114/11960	11832/11884	12037	11858	-0.021615	6552.6	38980	0.9067	0.18228	0.81772	0.36456	0.99897	False
TH_sg843	TH	8096.8/8234.4	8170.7/7861.8	8165.6	8016.3	-0.026628	28598	27162	0.9062	0.18242	0.81758	0.36483	0.99897	False
CINP_sg181	CINP	12475/12604	12739/12703	12539	12721	0.020771	4472.8	40606	0.90243	0.81658	0.18342	0.36683	0.99897	True
VSX1_sg894	VSX1	11979/12129	12275/12190	12054	12232	0.02117	7442.8	39036	0.90196	0.81646	0.18354	0.36708	0.99897	True
FOXN1_sg365	FOXN1	11014/11056	11165/11245	11035	11205	0.022059	2052.4	35735	0.89949	0.81581	0.18419	0.36839	0.99897	True
EFHD2_sg260	EFHD2	22760/22882	23221/22908	22821	23065	0.015317	28219	73903	0.89604	0.81489	0.18511	0.37023	0.99897	True
VSX1_sg892	VSX1	11527/11775	11389/11566	11651	11478	-0.021656	23185	37731	0.89373	0.18573	0.81427	0.37147	0.99897	False
CDHR5_sg146	CDHR5	11142/11013	11316/11178	11078	11247	0.02187	8886.5	35874	0.89344	0.81419	0.18581	0.37162	0.99897	True
BCL11B_sg084	BCL11B	19624/19520	19950/19643	19572	19797	0.016471	26332	63381	0.89269	0.81399	0.18601	0.37202	0.99897	True
SHANK1_sg786	SHANK1	12698/12961	12650/12649	12830	12649	-0.020421	17341	41547	0.88472	0.18815	0.81185	0.37631	0.99897	False
CHD8_sg168	CHD8	12654/12363	12835/12541	12509	12688	0.020538	42566	41194	0.88371	0.81157	0.18843	0.37685	0.99897	True
PSMD4_sg738	PSMD4	23300/23519	23032/23303	23410	23168	-0.014982	30467	75809	0.87839	0.18987	0.81013	0.37973	0.99897	False
SEL1L2_sg776	SEL1L2	23994/24349	24554/24279	24171	24416	0.014534	50482	78276	0.87481	0.80916	0.19084	0.38168	0.99897	True
PRDM13_sg672	PRDM13	9692.1/9904.6	10074/9833.5	9798.3	9953.9	0.022725	25792	31731	0.87339	0.80878	0.19122	0.38245	0.99897	True
POLR2C_sg644	POLR2C	18348/18300	18698/18375	18324	18536	0.016617	26630	59339	0.87148	0.80825	0.19175	0.38349	0.99897	True
ANAPC4_sg015	ANAPC4	10925/10839	10863/11227	10882	11045	0.021443	34952	35241	0.86811	0.80733	0.19267	0.38533	0.99897	True
CINP_sg190	CINP	16508/16525	16232/16401	16517	16316	-0.017601	7226.2	53487	0.86604	0.19323	0.80677	0.38647	0.99897	False
HDGFL1_sg446	HDGFL1	9527.6/9495.4	9123.1/9568	9511.5	9345.6	-0.025395	49761	37122	0.86146	0.19449	0.80551	0.38899	0.99897	False
SALL4_sg758	SALL4	7249.6/7427.9	7017.9/7368	7338.8	7193	-0.028946	38601	28711	0.86044	0.19477	0.80523	0.38954	0.99897	False
PRPH2_sg683	PRPH2	14305/14317	14598/14394	14311	14496	0.018516	10439	46345	0.85873	0.80476	0.19524	0.39049	0.99897	True
PSMD4_sg731	PSMD4	16310/15880	16166/15526	16095	15846	-0.022499	1.4886e+05	84369	0.8575	0.19558	0.80442	0.39117	0.99897	False
CDC45_sg133	CDC45	10378/10300	10243/10123	10339	10183	-0.021927	5093	33481	0.85235	0.19701	0.80299	0.39402	0.99897	False
CERS5_sg158	CERS5	16460/16853	16267/16631	16657	16449	-0.01809	71815	59899	0.84813	0.19818	0.80182	0.39637	0.99897	False
POLR1B_sg634	POLR1B	11913/11645	11588/11639	11779	11614	-0.020412	18645	38145	0.84737	0.19839	0.80161	0.39679	0.99897	False
POLR2C_sg642	POLR2C	16672/16669	16749/16985	16670	16867	0.016903	13995	53985	0.8456	0.80111	0.19889	0.39778	0.99897	True
POLR3K_sg660	POLR3K	8158.4/8080.2	8079/7886.9	8119.3	7983	-0.024428	10759	26293	0.84079	0.20023	0.79977	0.40046	0.99897	False
ANXA7_sg026	ANXA7	17597/17466	17501/17963	17531	17732	0.016424	57527	57024	0.84058	0.79971	0.20029	0.40058	0.99897	True
GNRHR_sg397	GNRHR	21191/20878	20700/20930	21034	20815	-0.015122	37751	68116	0.84037	0.20035	0.79965	0.4007	0.99897	False
GRIA1_sg406	GRIA1	11761/11767	11939/11917	11764	11928	0.019921	133.28	38096	0.83807	0.79901	0.20099	0.40199	0.99897	True
PSMC1_sg704	PSMC1	8142.8/8196.8	8147.6/7921.8	8169.8	8034.7	-0.024052	13468	26457	0.83055	0.20311	0.79689	0.40623	0.99897	False
PRDM13_sg678	PRDM13	11818/11597	11677/11414	11707	11545	-0.020061	29453	37912	0.83033	0.20318	0.79682	0.40635	0.99897	False
GRM1_sg423	GRM1	12896/12639	12965/12908	12768	12937	0.018937	17338	41347	0.8297	0.79665	0.20335	0.40671	0.99897	True
MCM6_sg530	MCM6	17468/17822	17795/17892	17645	17843	0.016121	33604	57141	0.82952	0.79659	0.20341	0.40681	0.99897	True
PRDM13_sg675	PRDM13	18838/18721	19086/18883	18780	18984	0.015616	13734	60816	0.82881	0.79639	0.20361	0.40721	0.99897	True
TRRAP_sg879	TRRAP	8705.2/8516	8300.7/8630.8	8610.6	8465.8	-0.024471	36174	30648	0.82734	0.20402	0.79598	0.40805	0.99897	False
KRT23_sg508	KRT23	11952/11797	11798/11627	11874	11712	-0.019828	13242	38454	0.82662	0.20423	0.79577	0.40845	0.99897	False
MDFI_sg546	MDFI	7598.8/7528.7	7582.2/7803.9	7563.8	7693	0.02445	13506	24494	0.82614	0.79564	0.20436	0.40873	0.99897	True
TCL1_sg836	TCL1	9520.3/9571.5	9319.6/9481.7	9545.9	9400.7	-0.022117	7232.1	30913	0.82609	0.20438	0.79562	0.40875	0.99897	False
BCR_sg096	BCR	12957/12997	12675/12941	12977	12808	-0.018879	18076	42024	0.82303	0.20525	0.79475	0.41049	0.99897	False
CDHR5_sg144	CDHR5	12885/12750	12341/12907	12818	12624	-0.021951	84865	55961	0.81823	0.20661	0.79339	0.41322	0.99897	False
TMPRSS11E_sg863	TMPRSS11E	10232/10206	10454/10280	10219	10367	0.020813	7733.6	33092	0.81634	0.79285	0.20715	0.41431	0.99897	True
TH_sg841	TH	11955/11746	11705/11677	11851	11691	-0.019544	11184	38377	0.81404	0.20781	0.79219	0.41562	0.99897	False
FEZF2_sg344	FEZF2	14022/14089	13867/13897	14056	13882	-0.017896	1334.4	45517	0.81223	0.20833	0.79167	0.41666	0.99897	False
EPHA4_sg286	EPHA4	20227/20024	20441/20224	20125	20333	0.014781	22091	65173	0.81189	0.79157	0.20843	0.41686	0.99897	True
DKK4_sg218	DKK4	19619/19404	19175/19442	19512	19309	-0.015097	29392	63186	0.80807	0.20953	0.79047	0.41905	0.99897	False
PSMC3_sg720	PSMC3	23341/23658	23211/23342	23499	23276	-0.013749	29272	76100	0.80802	0.20954	0.79046	0.41908	0.99897	False
C2CD2L_sg104	C2CD2L	17532/17083	17245/16973	17308	17109	-0.016619	68739	60279	0.80744	0.20971	0.79029	0.41941	0.99897	False
NonTarg_9	Control	16257/16018	16281/16363	16138	16322	0.016374	15936	52259	0.80582	0.78983	0.21017	0.42034	0.99897	True
DPEP1_sg228	DPEP1	20813/20834	20697/20532	20824	20615	-0.014557	6899.5	67434	0.80509	0.21038	0.78962	0.42077	0.99897	False
PRPH2_sg689	PRPH2	20532/20530	20915/20562	20531	20738	0.014494	31152	66486	0.804	0.7893	0.2107	0.4214	0.99897	True
CDHR5_sg148	CDHR5	10839/10904	10587/10854	10871	10721	-0.020153	18798	35205	0.80379	0.21076	0.78924	0.42152	0.99897	False
HOXC8_sg456	HOXC8	11694/11428	11421/11390	11561	11405	-0.019491	17929	37437	0.80184	0.21132	0.78868	0.42265	0.99897	False
CYP46A1_sg192	CYP46A1	10427/10442	10626/10538	10435	10582	0.020193	1971.5	33792	0.80017	0.78819	0.21181	0.42361	0.99897	True
FOXN1_sg364	FOXN1	16019/16025	15881/15799	16022	15840	-0.016491	1692.2	51885	0.79948	0.21201	0.78799	0.42401	0.99897	False
ORC3_sg612	ORC3	11174/11207	11022/11056	11191	11039	-0.01973	560.95	36240	0.79853	0.21228	0.78772	0.42456	0.99897	False
TCL1_sg840	TCL1	8514/8685	8667.6/8796.8	8599.5	8732.2	0.022084	11489	27848	0.79497	0.78668	0.21332	0.42663	0.99897	True
CAV2_sg119	CAV2	8893.6/9200.9	8836.9/8985.8	9047.2	8911.3	-0.021833	29166	29298	0.79397	0.21361	0.78639	0.42721	0.99897	False
EPN2_sg299	EPN2	14463/14506	14165/14462	14485	14313	-0.017167	22519	46907	0.79113	0.21443	0.78557	0.42887	0.99897	False
PPY_sg661	PPY	10824/10600	10905/10813	10712	10859	0.019627	14624	34690	0.78789	0.78462	0.21538	0.43076	0.99897	True
IFNG_sg478	IFNG	17000/17151	17057/16725	17076	16891	-0.01567	33156	55297	0.78448	0.21638	0.78362	0.43276	0.99897	False
HOXC8_sg452	HOXC8	9666.4/10081	9681.3/9767.9	9873.9	9724.6	-0.021977	44952	36301	0.78355	0.21665	0.78335	0.4333	0.99897	False
EPHA4_sg282	EPHA4	10506/10310	10377/10152	10408	10265	-0.020023	22225	33705	0.78145	0.21727	0.78273	0.43454	0.99897	False
DUSP3_sg248	DUSP3	17933/17893	18221/17981	17913	18101	0.015073	14744	58009	0.78115	0.78264	0.21736	0.43471	0.99897	True
LAMP1_sg516	LAMP1	18915/19186	19341/19146	19050	19243	0.014551	27817	61691	0.77752	0.78157	0.21843	0.43685	0.99897	True
NLGN1_sg591	NLGN1	17251/17307	17080/17113	17279	17097	-0.015318	1039.2	55956	0.77151	0.2202	0.7798	0.44041	0.99897	False
KRT23_sg510	KRT23	21503/21677	21062/21680	21590	21371	-0.014721	1.0317e+05	81000	0.77017	0.2206	0.7794	0.4412	0.99897	False
NonTarg_44	Control	10361/10319	10516/10445	10340	10480	0.019483	1694.2	33484	0.76833	0.77885	0.22115	0.44229	0.99897	True
GCKR_sg372	GCKR	12602/12737	12615/12415	12670	12515	-0.017745	14541	41029	0.76471	0.22222	0.77778	0.44445	0.99897	False
NKX3-2_sg588	NKX3-2	10967/10983	11058/11179	10975	11119	0.018786	3747.1	35540	0.76307	0.77729	0.22271	0.44542	0.99897	True
C2CD2L_sg102	C2CD2L	10056/9948.1	10069/10209	10002	10139	0.019661	7808.5	32390	0.76263	0.77716	0.22284	0.44569	0.99897	True
VSX1_sg897	VSX1	12868/12904	12728/12734	12886	12731	-0.017489	333.61	41730	0.76011	0.22359	0.77641	0.44719	0.99897	False
ANXA7_sg029	ANXA7	13866/13455	13577/13420	13661	13498	-0.017234	48327	45601	0.75969	0.22372	0.77628	0.44744	0.99897	False
MDFI_sg541	MDFI	19219/19453	19575/19476	19336	19526	0.014067	16232	62617	0.75716	0.77552	0.22448	0.44895	0.99897	True
FOXN1_sg369	FOXN1	16602/16782	16205/16789	16692	16497	-0.016938	93147	67085	0.75225	0.22595	0.77405	0.4519	0.99897	False
NonTarg_75	Control	14712/14860	15064/14838	14786	14951	0.015968	18217	47883	0.7521	0.774	0.226	0.45199	0.99897	True
ANAPC4_sg013	ANAPC4	16301/16599	16295/16259	16450	16277	-0.015272	22539	53272	0.75054	0.22647	0.77353	0.45293	0.99897	False
C2CD2L_sg109	C2CD2L	13012/13088	13147/13261	13050	13204	0.016934	4698.5	42261	0.74958	0.77325	0.22675	0.45351	0.99897	True
CERS5_sg154	CERS5	19120/18940	18576/19098	19030	18837	-0.014726	76192	66482	0.74956	0.22676	0.77324	0.45352	0.99897	False
KRT23_sg506	KRT23	7873.5/7804.5	7923.9/7991.8	7839	7957.8	0.021698	2344.5	25386	0.74565	0.77206	0.22794	0.45588	0.99897	True
NonTarg_90	Control	10195/9966.8	10245/10186	10081	10215	0.019146	13839	32645	0.74544	0.772	0.228	0.456	0.99897	True
APOH_sg033	APOH	11839/11715	11496/11767	11777	11632	-0.01791	22141	38138	0.74409	0.22841	0.77159	0.45682	0.99897	False
GRIN2A_sg411	GRIN2A	12791/12594	12747/12938	12692	12842	0.01697	18841	41102	0.74082	0.7706	0.2294	0.4588	0.99897	True
ARHGEF4_sg058	ARHGEF4	7814.7/7823.3	7702.1/7700.1	7819	7701.1	-0.02191	19.323	25321	0.74068	0.22944	0.77056	0.45888	0.99897	False
BCR_sg091	BCR	6580.6/6710.4	6538.2/6535.6	6645.5	6536.9	-0.023765	4219.1	21521	0.7402	0.22959	0.77041	0.45918	0.99897	False
PRPH2_sg690	PRPH2	16634/16817	16199/16849	16725	16524	-0.017459	1.1374e+05	74022	0.73951	0.2298	0.7702	0.4596	0.99897	False
EFHD2_sg259	EFHD2	13278/13509	13456/13635	13393	13546	0.01631	21316	43373	0.73122	0.76768	0.23232	0.46464	0.99897	True
ANAPC4_sg014	ANAPC4	18157/17888	18403/17996	18023	18199	0.014083	59707	58812	0.72904	0.76701	0.23299	0.46597	0.99897	True
ENTPD4_sg279	ENTPD4	16137/15896	16126/16238	16016	16182	0.014859	17681	51866	0.7281	0.76672	0.23328	0.46655	0.99897	True
SNX1_sg805	SNX1	14056/13713	14124/13953	13885	14039	0.015894	36737	44964	0.72544	0.76591	0.23409	0.46818	0.99897	True
DPEP1_sg225	DPEP1	12995/12571	13095/12795	12783	12945	0.018149	67358	50050	0.7234	0.76528	0.23472	0.46943	0.99897	True
FADS1_sg334	FADS1	13987/13966	13936/14325	13977	14131	0.015789	37993	45262	0.72298	0.76515	0.23485	0.46969	0.99897	True
INSRR_sg493	INSRR	8485.5/8545.7	8575.9/8694.1	8515.6	8635	0.020084	4402.7	27577	0.71893	0.76391	0.23609	0.47218	0.99897	True
GRIN2A_sg416	GRIN2A	13879/13892	14028/14048	13886	14038	0.015728	146.56	44967	0.71781	0.76356	0.23644	0.47288	0.99897	True
SULT1E1_sg819	SULT1E1	21917/21589	21730/21396	21753	21563	-0.012651	54695	70444	0.71557	0.23713	0.76287	0.47426	0.99897	False
NonTarg_23	Control	13721/13885	13575/13730	13803	13653	-0.015813	12759	44699	0.71173	0.23832	0.76168	0.47663	0.99897	False
ESPL1_sg304	ESPL1	11595/11710	11840/11742	11653	11791	0.017005	5706.8	37736	0.7113	0.76155	0.23845	0.4769	0.99897	True
TIAM1_sg851	TIAM1	10418/10363	10097/10424	10391	10260	-0.018179	27637	33649	0.70933	0.23906	0.76094	0.47812	0.99897	False
TRRAP_sg880	TRRAP	12824/13353	12949/12906	13088	12928	-0.01779	70380	51716	0.70538	0.24029	0.75971	0.48057	0.99897	False
NonTarg_24	Control	12094/12371	12477/12268	12233	12373	0.016393	30059	39614	0.70242	0.75879	0.24121	0.48241	0.99897	True
EPHA4_sg284	EPHA4	17812/17630	17918/17860	17721	17889	0.013607	9096.7	57387	0.70106	0.75837	0.24163	0.48327	0.99897	True
VSX1_sg898	VSX1	8005.8/7897.4	8010.5/8117.4	7951.6	8063.9	0.020236	5796.3	25750	0.70003	0.75805	0.24195	0.48391	0.99897	True
MDFI_sg545	MDFI	13569/13693	13858/13697	13631	13778	0.015463	10315	44142	0.69918	0.75778	0.24222	0.48444	0.99897	True
TIAM1_sg858	TIAM1	18500/18731	18848/18726	18616	18787	0.013231	16989	60284	0.69857	0.75759	0.24241	0.48482	0.99897	True
GRIA1_sg410	GRIA1	18811/18918	18514/18870	18864	18692	-0.013245	34430	61089	0.69755	0.24273	0.75727	0.48546	0.99897	False
IFNG_sg480	IFNG	33365/33453	33254/33105	33409	33180	-0.0099405	7510.1	1.0819e+05	0.69746	0.24276	0.75724	0.48551	0.99897	False
ESPL1_sg301	ESPL1	11414/11530	11196/11480	11472	11338	-0.017004	23491	37151	0.69745	0.24276	0.75724	0.48552	0.99897	False
ANXA7_sg021	ANXA7	14768/14637	14903/14806	14703	14855	0.014815	6660.2	47613	0.69556	0.75665	0.24335	0.4867	0.99897	True
DUSP3_sg249	DUSP3	9856.6/10247	10239/10126	10052	10182	0.01866	41168	35423	0.69532	0.75657	0.24343	0.48685	0.99897	True
CDHR5_sg143	CDHR5	17973/17846	18074/18080	17910	18077	0.013405	3996.4	57998	0.69427	0.75624	0.24376	0.48751	0.99897	True
SHANK1_sg784	SHANK1	16613/16570	16789/16713	16591	16751	0.01384	1898.1	53728	0.69002	0.75491	0.24509	0.49018	0.99897	True
ARHGEF4_sg057	ARHGEF4	12595/12675	12728/12817	12635	12772	0.015596	3567.5	40916	0.67896	0.75142	0.24858	0.49716	0.99897	True
ANXA7_sg028	ANXA7	12488/12459	12488/12733	12474	12610	0.015687	15186	40395	0.67858	0.7513	0.2487	0.49741	0.99897	True
FEZF2_sg343	FEZF2	18269/18076	18468/18205	18172	18337	0.012995	26522	58848	0.67783	0.75106	0.24894	0.49788	0.99897	True
CERS5_sg160	CERS5	12376/12366	12326/12146	12371	12236	-0.015891	8091.3	40063	0.67714	0.24916	0.75084	0.49832	0.99897	False
MYF6_sg561	MYF6	16273/16522	16176/16307	16397	16242	-0.013778	19823	53101	0.6764	0.24939	0.75061	0.49879	0.99897	False
ULBP1_sg883	ULBP1	16850/16937	16925/16546	16893	16736	-0.013553	37802	54707	0.67537	0.24972	0.75028	0.49944	0.99897	False
ENTPD4_sg274	ENTPD4	14035/13853	14095/14080	13944	14087	0.014767	8367.4	45156	0.67515	0.75021	0.24979	0.49958	0.99897	True
BCL11B_sg088	BCL11B	15569/15191	15772/15323	15380	15547	0.01563	86204	61938	0.67317	0.74958	0.25042	0.50084	0.99897	True
PHOX2B_sg627	PHOX2B	10244/10262	10273/9988.6	10253	10131	-0.017356	20285	33204	0.67294	0.25049	0.74951	0.50098	0.99897	False
NonTarg_78	Control	3065.6/3077.5	3128/3149.3	3071.6	3138.7	0.031167	148.62	9946.8	0.67278	0.74946	0.25054	0.50109	0.99897	True
SLC22A16_sg800	SLC22A16	15593/15295	15403/15795	15444	15599	0.014429	60465	53497	0.67118	0.74895	0.25105	0.50211	0.99897	True
NonTarg_79	Control	11938/11824	11870/12153	11881	12011	0.015752	23200	38475	0.66503	0.74699	0.25301	0.50603	0.99897	True
FMO3_sg360	FMO3	14587/14141	14131/14301	14364	14216	-0.014987	57013	50016	0.6638	0.25341	0.74659	0.50682	0.99897	False
MCOLN3_sg532	MCOLN3	17691/17326	17442/17259	17508	17351	-0.013031	41638	56698	0.66119	0.25424	0.74576	0.50849	0.99897	False
SLC22A16_sg797	SLC22A16	18745/18995	19091/18976	18870	19033	0.012433	18959	61107	0.6607	0.7456	0.2544	0.5088	0.99897	True
SALL4_sg753	SALL4	13223/13308	13418/13386	13265	13402	0.014767	2087.9	42958	0.65852	0.7449	0.2551	0.51021	0.99897	True
SATB2_sg770	SATB2	12433/12560	12400/12331	12497	12365	-0.015235	5228.7	40469	0.6526	0.25701	0.74299	0.51402	0.99897	False
CERS5_sg159	CERS5	18135/18227	17872/18174	18181	18023	-0.012605	24814	58877	0.65187	0.25724	0.74276	0.51449	0.99897	False
GRM1_sg422	GRM1	11490/11317	11435/11622	11403	11528	0.015733	16190	36928	0.65072	0.74239	0.25761	0.51523	0.99897	True
NonTarg_43	Control	20942/20918	20625/20896	20930	20761	-0.011716	18433	67779	0.65026	0.25776	0.74224	0.51553	0.99897	False
NonTarg_55	Control	15268/15002	15061/14924	15135	14992	-0.013687	22380	49013	0.64558	0.25928	0.74072	0.51855	0.99897	False
GRM6_sg439	GRM6	9471.6/9592.3	9606.8/9682.7	9531.9	9644.8	0.016975	5085.9	30868	0.64221	0.73963	0.26037	0.52074	0.99897	True
INSRR_sg496	INSRR	14026/13955	13947/13761	13990	13854	-0.014133	9971.8	45305	0.64077	0.26084	0.73916	0.52167	0.99897	False
TIAM1_sg855	TIAM1	9572.7/9890.7	9788.2/9902.3	9731.7	9845.2	0.016733	28553	31515	0.63956	0.73877	0.26123	0.52246	0.99897	True
KRT23_sg504	KRT23	15652/15995	15673/15685	15824	15679	-0.013239	29446	51244	0.63858	0.26155	0.73845	0.5231	0.99897	False
MNAT1_sg557	MNAT1	10664/10782	10781/10903	10723	10842	0.015865	7199	34726	0.63636	0.73773	0.26227	0.52454	0.99897	True
